Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Project ID,Agency Project ID,Project Name,Start Date,Start Year,Completion Date (B1),Completion Date,Duration,Planned Project Completion Date (B2),Projected/Actual Project Completion Date (B2),Lifecycle Cost,Schedule Variance (in days),Schedule Variance (%),Cost Variance ($ M),Cost Variance (%),Planned Cost ($ M),Projected/Actual Cost ($ M),Updated Date,Updated Time,Unique Project ID
005-000001723,212,5,Department of Agriculture,AMS Infrastructure WAN and DMZ (AMSWAN),656,,Operations,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,,,15.297,0,0,0,0,15.297,15.297,2011-09-22T00:00:00Z,1970-01-01T10:22:25Z,1
005-000001723,212,5,Department of Agriculture,AMS Infrastructure WAN and DMZ (AMSWAN),657,,Virtualization,2011-01-10T00:00:00Z,2011,2012-03-31T00:00:00Z,2012,445,2012-03-31T00:00:00Z,2012-03-31T00:00:00Z,0.179,-153,-84.07,0,0,0.179,0.179,2011-11-30T00:00:00Z,1970-01-01T06:09:57Z,2
005-000001723,212,5,Department of Agriculture,AMS Infrastructure WAN and DMZ (AMSWAN),658,,Refresh,2012-01-04T00:00:00Z,2012,2012-09-30T00:00:00Z,2012,269,,,1.46,0,0,0,0,1.46,1.46,2011-10-28T00:00:00Z,1970-01-01T05:50:19Z,3
005-000001822,213,5,Department of Agriculture,APHIS Electronic Permits System (ePermits),661,,ePermits O&M FY11 Part 1.,2011-01-04T00:00:00Z,2011,2011-09-30T00:00:00Z,2011,268,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,1.8205,0,0,0.3641,20,1.8205,1.4564,2012-05-31T00:00:00Z,1970-01-01T14:20:11Z,PER1822001
005-000001822,213,5,Department of Agriculture,APHIS Electronic Permits System (ePermits),662,,ePermits O&M FY12 Part 1,2012-01-04T00:00:00Z,2012,2012-09-30T00:00:00Z,2012,269,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,1.713,0,0,0,0,1.713,1.713,2012-05-31T00:00:00Z,1970-01-01T14:20:11Z,PER1822002
005-000001822,213,5,Department of Agriculture,APHIS Electronic Permits System (ePermits),663,,ePermits O&M FY12 Part 2,2012-01-10T00:00:00Z,2012,2013-03-31T00:00:00Z,2013,446,,,1.45,0,0,0,0,1.45,1.45,2012-05-31T00:00:00Z,1970-01-01T14:20:11Z,PER1822003
005-000001822,213,5,Department of Agriculture,APHIS Electronic Permits System (ePermits),664,,BRS Field Reports Phase 2,2010-12-31T00:00:00Z,2010,2011-03-31T00:00:00Z,2011,89,2011-03-31T00:00:00Z,2011-03-31T00:00:00Z,0.01,0,0,0,0,0.01,0.01,2011-09-22T00:00:00Z,1970-01-01T10:34:24Z,PERD182202
005-000000038,214,5,Department of Agriculture,APHIS Enterprise Infrastructure,665,,Enterprise Management,2010-01-10T00:00:00Z,2010,2011-09-30T00:00:00Z,2011,627,2011-09-30T00:00:00Z,2011-09-20T00:00:00Z,46.96,10,2.75,0,0,46.96,46.96,2011-09-22T00:00:00Z,1970-01-01T10:34:32Z,AEI0038000
005-000000038,214,5,Department of Agriculture,APHIS Enterprise Infrastructure,666,,VoIP Riverdale,2011-08-15T00:00:00Z,2011,2012-04-30T00:00:00Z,2012,259,2012-04-30T00:00:00Z,2012-04-30T00:00:00Z,0.662,0,0,0,0,0.662,0.662,2012-05-31T00:00:00Z,1970-01-01T14:20:13Z,AEI0038001
005-000000038,214,6,Department of Agriculture,APHIS Enterprise Infrastructure,667,,Enterprise Security,2011-06-09T00:00:00Z,2011,2012-12-31T00:00:00Z,2012,571,,,3.155,0,0,0,0,0.572,0.572,2012-01-08T00:00:00Z,1970-01-01T13:21:08Z,AEI0038002
005-000000038,214,5,Department of Agriculture,APHIS Enterprise Infrastructure,668,,Telecom,2011-06-09T00:00:00Z,2011,2012-12-21T00:00:00Z,2012,561,2012-02-03T00:00:00Z,2012-02-03T00:00:00Z,14.239,0,0,2.0244,84,2.41,0.3856,2012-05-31T00:00:00Z,1970-01-01T14:20:14Z,AEI0038003
005-000000038,214,5,Department of Agriculture,APHIS Enterprise Infrastructure,669,,Enterprise Software license optimization,2011-03-10T00:00:00Z,2011,2012-07-09T00:00:00Z,2012,486,2012-07-09T00:00:00Z,2012-07-09T00:00:00Z,10.058,0,0,0,0,10.058,10.058,2012-05-31T00:00:00Z,1970-01-01T14:20:14Z,AEI0038004
005-000000038,214,5,Department of Agriculture,APHIS Enterprise Infrastructure,670,,Hardware Maintenance,2011-01-11T00:00:00Z,2011,2012-05-31T00:00:00Z,2012,505,2012-05-31T00:00:00Z,2012-05-31T00:00:00Z,4.268,0,0,0,0,4.268,4.268,2012-06-30T00:00:00Z,1970-01-01T14:56:34Z,AEI0038005
005-000000038,214,5,Department of Agriculture,APHIS Enterprise Infrastructure,671,,Enterprise Life Cycle Management,2012-01-03T00:00:00Z,2012,2012-08-24T00:00:00Z,2012,233,2012-08-24T00:00:00Z,2012-08-24T00:00:00Z,4.01,-7,-3.98,0,0,2.23,2.23,2012-01-08T00:00:00Z,1970-01-01T13:21:08Z,AEI0038006
005-000000093,215,5,Department of Agriculture,ATSA - Automated Timber Sale Accounting,1768,,Provision O&M Services,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,,,675,0,0,0.4,22.86,1.75,1.35,2011-10-31T00:00:00Z,1970-01-01T10:26:32Z,1
005-000001231,219,5,Department of Agriculture,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1092,,Program Loan Accounting System (PLAS),2002-01-10T00:00:00Z,2002,2018-09-28T00:00:00Z,2018,6104,2012-09-28T00:00:00Z,2012-09-28T00:00:00Z,46.72,0,0,0.109,10.9,1,0.891,2012-04-30T00:00:00Z,1970-01-01T11:14:58Z,1231-11-01
005-000001231,219,5,Department of Agriculture,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1093,,Electronic Debt and Loan Restructure System (eDALR$),2002-01-10T00:00:00Z,2002,2018-09-28T00:00:00Z,2018,6104,2012-09-28T00:00:00Z,2012-09-28T00:00:00Z,23.36,0,0,0,0,0.35,0.35,2012-04-30T00:00:00Z,1970-01-01T11:14:58Z,1231-19-01
005-000001231,219,5,Department of Agriculture,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1094,,Direct Loan System (DLS),2002-01-10T00:00:00Z,2002,2018-09-28T00:00:00Z,2018,6104,,,116.8,0,0,0.087,0.74,11.678,11.591,2012-01-08T00:00:00Z,1970-01-01T13:21:41Z,1231-24-01
005-000001231,219,5,Department of Agriculture,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1095,,Farm Loan Program Risk Assessment (FLPRA),2002-01-10T00:00:00Z,2002,2018-09-28T00:00:00Z,2018,6104,2012-09-28T00:00:00Z,2012-09-28T00:00:00Z,23.36,0,0,0.0040,4,0.1,0.096,2012-04-30T00:00:00Z,1970-01-01T11:14:58Z,1231-25-01
005-000001231,219,5,Department of Agriculture,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1096,,Farm Business Plan (FBP),2002-01-10T00:00:00Z,2002,2018-09-28T00:00:00Z,2018,6104,2012-09-28T00:00:00Z,2012-09-28T00:00:00Z,23.36,0,0,0,0,0.44,0.44,2012-04-30T00:00:00Z,1970-01-01T11:14:58Z,1231-30-01
005-000001232,220,5,Department of Agriculture,Consolidated Financial Management Information Systems (CFMIS) #106,1648,,Ongoing maintenance of 26 financial systems within AFAO.,2011-01-07T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,631,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,5.9004,0,0,0.2189,3.71,5.9002,5.6813,2012-01-08T00:00:00Z,1970-01-01T13:21:48Z,AFAOFY1201
005-000001232,220,5,Department of Agriculture,Consolidated Financial Management Information Systems (CFMIS) #106,1649,,Maintenance support for FMMI Readiness.,2011-01-07T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,631,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,2.306,0,0,0.1164,5.05,2.3053,2.1889,2012-01-08T00:00:00Z,1970-01-01T13:21:48Z,AFAOFY1202
005-000001234,221,5,Department of Agriculture,Consolidated General Sales Manager (CGSM) #107,1650,,APLUS Operations and Maintenance,2011-01-07T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,631,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0.795,0,0,0.139,36.68,0.379,0.24,2012-05-31T00:00:00Z,1970-01-01T14:20:42Z,APLUS-001
005-000001234,221,5,Department of Agriculture,Consolidated General Sales Manager (CGSM) #107,1651,,GSM Operations and Maintenance,2004-01-10T00:00:00Z,2004,2012-09-30T00:00:00Z,2012,3185,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,1.404,0,0,-0.0040,-0.36,1.109,1.113,2012-05-31T00:00:00Z,1970-01-01T14:20:42Z,GSM-001
